state_id,a,b,r,U,L,new_blue,new_red,blue_target,blue_power,red_allowed,red_target,red_power,c0,c1,c2,c3,c4,lower_bound,upper_bound,status
q120,N,Bo,R,B B Bo,R R R,B,R,q368,2,1,q120,1,2634,11904,11322,-14184,-5310,65566427162786086107/12207031250000000000,549945794175643377017229/100000000000000000000000,positive
q121,N,Bo,R,B B B,Ro Ro Ro,Bo,Ro,q369,2,1,q057,0,0,0,0,0,0,0,0,zero
q121,N,Bo,R,B B B,Ro Ro Ro,Bo,R,q369,2,1,q058,0,-25455,-114981,-109548,136959,51507,3276192155884561680728787/1000000000000000000000000,1102693443824069798367/244140625000000000000,positive
q121,N,Bo,R,B B B,Ro Ro Ro,B,Ro,q377,2,1,q057,0,0,0,0,0,0,0,0,zero
q121,N,Bo,R,B B B,Ro Ro Ro,B,R,q377,2,1,q058,0,-25455,-114981,-109548,136959,51507,3276192155884561680728787/1000000000000000000000000,1102693443824069798367/244140625000000000000,positive
q122,N,Bo,R,B B B,Ro Ro R,Bo,Ro,q370,2,1,q059,0,0,0,0,0,0,0,0,zero
q122,N,Bo,R,B B B,Ro Ro R,Bo,R,q370,2,1,q060,0,19206,86764,82608,-103306,-38856,136885858256337652783/30517578125000000000,677641966918908962583863/125000000000000000000000,positive
q122,N,Bo,R,B B B,Ro Ro R,B,Ro,q378,2,1,q059,0,19999,90357,86076,-107623,-40467,361270006069545681873/244140625000000000000,2454446691847903581963853/1000000000000000000000000,positive
q122,N,Bo,R,B B B,Ro Ro R,B,R,q378,2,1,q060,0,39205,177121,168684,-210929,-79323,1456356872120246904137/244140625000000000000,7875582427199175282634757/1000000000000000000000000,positive
q123,N,Bo,R,B B B,Ro R Ro,Bo,Ro,q371,2,1,q061,0,0,0,0,0,0,0,0,zero
q123,N,Bo,R,B B B,Ro R Ro,Bo,R,q371,2,1,q062,0,-6484,-29282,-27880,34888,13098,1682552900280629853587509/500000000000000000000000,449326210893993439569/122070312500000000000,positive
q123,N,Bo,R,B B B,Ro R Ro,B,Ro,q379,2,1,q061,0,4590,20740,19764,-24694,-9300,1448839452061380473/610351562500000000,25975516036844535033187/10000000000000000000000,positive
q123,N,Bo,R,B B B,Ro R Ro,B,R,q379,2,1,q062,0,-1894,-8542,-8116,10194,3798,2981328702122856605246859/500000000000000000000000,739094101306269534169/122070312500000000000,positive
q124,N,Bo,R,B B B,Ro R R,Bo,Ro,q372,2,1,q063,0,0,0,0,0,0,0,0,zero
q124,N,Bo,R,B B B,Ro R R,Bo,R,q372,2,1,q064,0,-6007,-27127,-25818,32297,12147,3478821699523025232955027/1000000000000000000000000,920732292238424367457/244140625000000000000,positive
q124,N,Bo,R,B B B,Ro R R,B,Ro,q380,2,1,q063,0,-11708,-52892,-50358,62986,23682,1971250068551884649256481/500000000000000000000000,275445171352603570823/61035156250000000000,positive
q124,N,Bo,R,B B B,Ro R R,B,R,q380,2,1,q064,0,-17715,-80019,-76176,95283,35829,7421321836626794531467989/1000000000000000000000000,2022512977648838650749/244140625000000000000,positive
